Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US01001,01001,"Autauga County, Alabama",54907,*****
0500000US01003,01003,"Baldwin County, Alabama",187114,*****
0500000US01005,01005,"Barbour County, Alabama",27321,*****
0500000US01007,01007,"Bibb County, Alabama",22754,*****
0500000US01009,01009,"Blount County, Alabama",57623,*****
0500000US01011,01011,"Bullock County, Alabama",10746,*****
0500000US01013,01013,"Butler County, Alabama",20624,*****
0500000US01015,01015,"Calhoun County, Alabama",117714,*****
0500000US01017,01017,"Chambers County, Alabama",34145,*****
0500000US01019,01019,"Cherokee County, Alabama",26034,*****
0500000US01021,01021,"Chilton County, Alabama",43744,*****
0500000US01023,01023,"Choctaw County, Alabama",13687,*****
0500000US01025,01025,"Clarke County, Alabama",25573,*****
0500000US01027,01027,"Clay County, Alabama",13703,*****
0500000US01029,01029,"Cleburne County, Alabama",14945,*****
0500000US01031,01031,"Coffee County, Alabama",50468,*****
0500000US01033,01033,"Colbert County, Alabama",54456,*****
0500000US01035,01035,"Conecuh County, Alabama",13104,*****
0500000US01037,01037,"Coosa County, Alabama",11198,*****
0500000US01039,01039,"Covington County, Alabama",37847,*****
0500000US01041,01041,"Crenshaw County, Alabama",13955,*****
0500000US01043,01043,"Cullman County, Alabama",80499,*****
0500000US01045,01045,"Dale County, Alabama",50102,*****
0500000US01047,01047,"Dallas County, Alabama",43091,*****
0500000US01049,01049,"DeKalb County, Alabama",71076,*****
0500000US01051,01051,"Elmore County, Alabama",79895,*****
0500000US01053,01053,"Escambia County, Alabama",38169,*****
0500000US01055,01055,"Etowah County, Alabama",104260,*****
0500000US01057,01057,"Fayette County, Alabama",17110,*****
0500000US01059,01059,"Franklin County, Alabama",31666,*****
0500000US01061,01061,"Geneva County, Alabama",26791,*****
0500000US01063,01063,"Greene County, Alabama",8934,*****
0500000US01065,01065,"Hale County, Alabama",15594,*****
0500000US01067,01067,"Henry County, Alabama",17308,*****
0500000US01069,01069,"Houston County, Alabama",102326,*****
0500000US01071,01071,"Jackson County, Alabama",53171,*****
0500000US01073,01073,"Jefferson County, Alabama",658552,*****
0500000US01075,01075,"Lamar County, Alabama",14396,*****
0500000US01077,01077,"Lauderdale County, Alabama",92666,*****
0500000US01079,01079,"Lawrence County, Alabama",34009,*****
0500000US01081,01081,"Lee County, Alabama",144405,*****
0500000US01083,01083,"Limestone County, Alabama",85264,*****
0500000US01085,01085,"Lowndes County, Alabama",11086,*****
0500000US01087,01087,"Macon County, Alabama",20803,*****
0500000US01089,01089,"Madison County, Alabama",339279,*****
0500000US01091,01091,"Marengo County, Alabama",20669,*****
0500000US01093,01093,"Marion County, Alabama",30615,*****
0500000US01095,01095,"Marshall County, Alabama",93699,*****
0500000US01097,01097,"Mobile County, Alabama",413188,*****
0500000US01099,01099,"Monroe County, Alabama",22778,*****
0500000US01101,01101,"Montgomery County, Alabama",228980,*****
0500000US01103,01103,"Morgan County, Alabama",119673,*****
0500000US01105,01105,"Perry County, Alabama",10390,*****
0500000US01107,01107,"Pickens County, Alabama",19516,*****
0500000US01109,01109,"Pike County, Alabama",32977,*****
0500000US01111,01111,"Randolph County, Alabama",22819,*****
0500000US01113,01113,"Russell County, Alabama",55544,*****
0500000US01115,01115,"St. Clair County, Alabama",84521,*****
0500000US01117,01117,"Shelby County, Alabama",198366,*****
0500000US01119,01119,"Sumter County, Alabama",13552,*****
0500000US01121,01121,"Talladega County, Alabama",81845,*****
0500000US01123,01123,"Tallapoosa County, Alabama",41428,*****
0500000US01125,01125,"Tuscaloosa County, Alabama",196824,*****
0500000US01127,01127,"Walker County, Alabama",66622,*****
0500000US01129,01129,"Washington County, Alabama",17284,*****
0500000US01131,01131,"Wilcox County, Alabama",11531,*****
0500000US01133,01133,"Winston County, Alabama",24342,*****
0500000US02013,02013,"Aleutians East Borough, Alaska",3141,*****
0500000US02016,02016,"Aleutians West Census Area, Alaska",5538,*****
0500000US02020,02020,"Anchorage Municipality, Alaska",295237,*****
0500000US02050,02050,"Bethel Census Area, Alaska",17356,*****
0500000US02060,02060,"Bristol Bay Borough, Alaska",933,136
0500000US02068,02068,"Denali Borough, Alaska",2020,128
0500000US02070,02070,"Dillingham Census Area, Alaska",4923,*****
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",98656,*****
0500000US02100,02100,"Haines Borough, Alaska",2546,*****
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",2141,*****
0500000US02110,02110,"Juneau City and Borough, Alaska",31897,*****
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",56163,*****
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",13595,*****
0500000US02150,02150,"Kodiak Island Borough, Alaska",13850,*****
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",1454,128
