name,location.coordinate.longitude,location.coordinate.latitude,review_count,rating,categories
Geo's Cuban & Creole Cafe,-122.4063607,47.6739645,83,4.5,"[[""Cajun/Creole"",""cajun""],[""Cuban"",""cuban""]]"
Ray's Boathouse,-122.407371,47.673492,601,4,"[[""American (New)"",""newamerican""],[""Seafood"",""seafood""],[""Bars"",""bars""]]"
Ray's Café,-122.407372,47.673492,316,4,"[[""Seafood"",""seafood""]]"
Ristorante Picolinos,-122.398535,47.675805,285,4,"[[""Italian"",""italian""],[""Breakfast \u0026 Brunch"",""breakfast_brunch""],[""Pizza"",""pizza""]]"
Mod Burger,-122.4065187,47.6748921,7,5,"[[""Burgers"",""burgers""]]"
Red Mill Totem House,-122.39794921875,47.6677894592285,107,4,"[[""Burgers"",""burgers""],[""Fish \u0026 Chips"",""fishnchips""]]"
Café Besalu,-122.38782088382,47.671821301106,600,4.5,"[[""Bakeries"",""bakeries""],[""Coffee \u0026 Tea"",""coffee""],[""French"",""french""]]"
Pestle Rock,-122.386528,47.668499,274,4.5,"[[""Thai"",""thai""]]"
Kimchi House,-122.3878017,47.6713381,99,4,"[[""Korean"",""korean""],[""Delis"",""delis""],[""Sandwiches"",""sandwiches""]]"
Cafe Munir,-122.387903854251,47.686869353056,125,4.5,"[[""Lebanese"",""lebanese""]]"
Morsel and Bean,-122.376571,47.671844,118,4.5,"[[""Coffee \u0026 Tea"",""coffee""],[""Breakfast \u0026 Brunch"",""breakfast_brunch""]]"
Porkchop & Co,-122.383972,47.667842,125,4.5,"[[""Breakfast \u0026 Brunch"",""breakfast_brunch""],[""American (New)"",""newamerican""],[""Tapas/Small Plates"",""tapasmallplates""]]"
Kiss Cafe,-122.3937302,47.6684685,165,4,"[[""Cafes"",""cafes""],[""Sandwiches"",""sandwiches""]]"
Trident Seafoods,-122.394374,47.6683701,44,4.5,"[[""Seafood"",""seafood""],[""Seafood Markets"",""seafoodmarkets""],[""Sandwiches"",""sandwiches""]]"
Cocina Esperanza,-122.397804,47.690388,88,4,"[[""Mexican"",""mexican""]]"
La Isla Cuisine,-122.38729704946,47.668848643842,817,4,"[[""Latin American"",""latin""],[""Lounges"",""lounges""],[""Puerto Rican"",""puertorican""]]"
Hotel Albatross,-122.387172781393,47.6686323934881,33,3.5,"[[""Korean"",""korean""],[""Mexican"",""mexican""]]"
Ocho,-122.3873367,47.6684914,452,4,"[[""Tapas Bars"",""tapas""],[""Lounges"",""lounges""],[""Spanish"",""spanish""]]"
Olaf's,-122.387874014676,47.6747199754929,33,4,"[[""American (Traditional)"",""tradamerican""],[""Bars"",""bars""]]"
Anthony's HomePort,-122.407639,47.674038,152,3.5,"[[""Seafood"",""seafood""]]"
La Carta de Oaxaca,-122.3857727,47.6680603,939,4,"[[""Mexican"",""mexican""]]"
Stoneburner,-122.382751900253,47.6662974316062,293,4,"[[""Pizza"",""pizza""],[""American (New)"",""newamerican""],[""Bars"",""bars""]]"
The Noble Fir,-122.3833771,47.6668816,155,4,"[[""Bars"",""bars""],[""Tapas/Small Plates"",""tapasmallplates""]]"
8oz Burger & Co,-122.388168,47.668441,62,4,"[[""Burgers"",""burgers""]]"
